InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
549126,84991,60 TEATIME FAIRY CAKE CASES,1,4/6/2011 14:23,0.55,16031.0,United Kingdom
570514,22382,LUNCH BAG SPACEBOY DESIGN ,12,10/11/2011 10:36,1.65,13089.0,United Kingdom
560233,21429,RED GINGHAM ROSE JEWELLERY BOX,2,7/17/2011 11:10,1.95,16813.0,United Kingdom
536796,22585,PACK OF 6 BIRDY GIFT TAGS,1,12/2/2010 15:46,1.25,15574.0,United Kingdom
563217,22355,CHARLOTTE BAG SUKI DESIGN,10,8/14/2011 13:21,0.85,13515.0,United Kingdom
538810,84030E,ENGLISH ROSE HOT WATER BOTTLE,1,12/14/2010 12:18,4.25,14871.0,United Kingdom
578281,22418,10 COLOUR SPACEBOY PEN,12,11/23/2011 13:53,0.85,14099.0,United Kingdom
538744,22631,CIRCUS PARADE LUNCH BOX ,1,12/14/2010 11:26,1.95,15356.0,United Kingdom
556915,22333,RETROSPOT PARTY BAG + STICKER SET,2,6/15/2011 13:35,1.65,15036.0,United Kingdom
564835,23346,SPACEBOY BEAKER,1,8/30/2011 12:31,2.46,,United Kingdom
577094,22781,GUMBALL MAGAZINE RACK,1,11/17/2011 16:39,7.65,15435.0,United Kingdom
577314,22694,WICKER STAR ,6,11/18/2011 13:23,2.1,12444.0,Norway
569897,22746,POPPY'S PLAYHOUSE LIVINGROOM ,1,10/6/2011 16:01,2.1,17813.0,United Kingdom
564837,22697,GREEN REGENCY TEACUP AND SAUCER,4,8/30/2011 12:40,5.79,,United Kingdom
571682,23193,BUFFALO BILL TREASURE BOOK BOX,1,10/18/2011 14:00,2.25,14179.0,United Kingdom
568186,22633,HAND WARMER UNION JACK,2,9/25/2011 14:08,2.1,17837.0,United Kingdom
573777,22556,PLASTERS IN TIN CIRCUS PARADE ,12,11/1/2011 10:49,1.65,13726.0,United Kingdom
574893,21618,4 WILDFLOWER BOTANICAL CANDLES,2,11/7/2011 14:40,1.25,18036.0,United Kingdom
557850,22344,PARTY PIZZA DISH PINK POLKADOT,24,6/23/2011 10:56,0.85,12720.0,Germany
545067,22558,CLOTHES PEGS RETROSPOT PACK 24 ,1,2/27/2011 14:49,1.49,17894.0,United Kingdom
545014,21354,TOAST ITS - BEST MUM,12,2/25/2011 13:15,1.25,18223.0,United Kingdom
575607,85014A,BLACK/BLUE POLKADOT UMBRELLA,1,11/10/2011 12:37,12.46,14096.0,United Kingdom
571105,22866,HAND WARMER SCOTTY DOG DESIGN,1,10/13/2011 16:01,2.1,17614.0,United Kingdom
544186,22662,LUNCH BAG DOLLY GIRL DESIGN,1,2/16/2011 15:56,4.13,,United Kingdom
569234,21670,BLUE SPOT CERAMIC DRAWER KNOB,24,10/2/2011 15:33,1.45,17841.0,United Kingdom
553196,21755,LOVE BUILDING BLOCK WORD,1,5/15/2011 14:15,5.95,17114.0,United Kingdom
536991,22338,STAR DECORATION PAINTED ZINC ,4,12/3/2010 15:16,0.65,,United Kingdom
559918,22961,JAM MAKING SET PRINTED,12,7/13/2011 15:29,1.45,18225.0,United Kingdom
541658,44235,ASS COL CIRCLE MOBILE ,1,1/20/2011 12:16,0.42,15529.0,United Kingdom
570688,84536B,FAIRY CAKES NOTEBOOK A7 SIZE,1,10/11/2011 16:29,0.83,,United Kingdom
563231,22766,PHOTO FRAME CORNICE,2,8/14/2011 15:42,2.95,14658.0,United Kingdom
547327,21559,STRAWBERRY LUNCH BOX WITH CUTLERY,6,3/22/2011 11:28,2.55,12681.0,France
570488,22419,LIPSTICK PEN RED,11,10/10/2011 17:12,0.83,14096.0,United Kingdom
536945,84569B,PACK 3 FIRE ENGINE/CAR PATCHES,1,12/3/2010 12:24,1.25,14083.0,United Kingdom
569722,22029,SPACEBOY BIRTHDAY CARD,12,10/6/2011 9:31,0.42,12431.0,Australia
556121,21164,HOME SWEET HOME METAL SIGN ,2,6/9/2011 10:09,2.95,15855.0,United Kingdom
538566,21985,PACK OF 12 HEARTS DESIGN TISSUES ,3,12/13/2010 11:21,0.85,,United Kingdom
543273,85099C,JUMBO  BAG BAROQUE BLACK WHITE,20,2/6/2011 11:29,1.95,16456.0,United Kingdom
556092,21714,CITRONELLA CANDLE GARDEN POT,2,6/8/2011 15:25,2.46,,United Kingdom
577805,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,200,11/22/2011 8:19,2.55,13881.0,United Kingdom
578928,22115,METAL SIGN EMPIRE TEA,4,11/27/2011 12:29,0.79,15443.0,United Kingdom
570592,21672,WHITE SPOT RED CERAMIC DRAWER KNOB,1,10/11/2011 11:37,2.46,,United Kingdom
552671,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,1,5/10/2011 15:06,6.63,,United Kingdom
560601,22629,SPACEBOY LUNCH BOX ,1,7/19/2011 17:17,1.95,16764.0,United Kingdom
566622,23236,STORAGE TIN VINTAGE DOILY ,6,9/14/2011 9:27,2.89,13860.0,United Kingdom
578518,21356,TOAST ITS - FAIRY FLOWER,1,11/24/2011 13:54,1.25,14606.0,United Kingdom
550487,22413,METAL SIGN TAKE IT OR LEAVE IT ,6,4/18/2011 14:21,2.95,18219.0,United Kingdom
556237,23053,RECYCLED ACAPULCO MAT PINK,1,6/9/2011 15:34,16.63,,United Kingdom
578270,22943,CHRISTMAS LIGHTS 10 VINTAGE BAUBLES,1,11/23/2011 13:39,10.79,14096.0,United Kingdom
581492,71270,PHOTO CLIP LINE,1,12/9/2011 10:03,2.46,,United Kingdom
549754,21181,PLEASE ONE PERSON METAL SIGN,12,4/12/2011 11:32,2.1,13700.0,United Kingdom
581327,22630,DOLLY GIRL LUNCH BOX,12,12/8/2011 11:56,1.95,15187.0,United Kingdom
543463,85187,S/12 MINI RABBIT EASTER,4,2/8/2011 14:06,1.65,15311.0,United Kingdom
568901,85123A,WHITE HANGING HEART T-LIGHT HOLDER,32,9/29/2011 13:22,2.55,15050.0,United Kingdom
576554,82484,WOOD BLACK BOARD ANT WHITE FINISH,2,11/15/2011 12:57,7.95,13066.0,United Kingdom
538374,20728,LUNCH BAG CARS BLUE,2,12/12/2010 11:17,1.65,14159.0,United Kingdom
552006,21930,JUMBO STORAGE BAG SKULLS,2,5/5/2011 16:54,2.08,,United Kingdom
551173,21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,3,4/26/2011 16:54,4.96,,United Kingdom
575930,21878,PACK OF 6 SANDCASTLE FLAGS ASSORTED,1,11/11/2011 17:58,1.63,,United Kingdom
C538115,22233,JIGSAW RABBIT AND BIRDHOUSE,-12,12/9/2010 15:30,1.65,16817.0,United Kingdom
565429,22507,MEMO BOARD RETROSPOT  DESIGN,4,9/4/2011 12:54,4.95,16434.0,United Kingdom
567665,23238,SET OF 4 KNICK KNACK TINS LONDON ,1,9/21/2011 15:22,8.29,,United Kingdom
565234,20712,JUMBO BAG WOODLAND ANIMALS,1,9/2/2011 9:38,4.13,,United Kingdom
561906,84991,60 TEATIME FAIRY CAKE CASES,24,8/1/2011 10:03,0.55,12921.0,United Kingdom
550474,20733,GOLD MINI TAPE MEASURE ,2,4/18/2011 13:58,0.83,,United Kingdom
544806,22426,ENAMEL WASH BOWL CREAM,16,2/23/2011 14:50,2.95,15932.0,United Kingdom
544681,85066,CREAM SWEETHEART MINI CHEST,1,2/22/2011 16:28,24.96,,United Kingdom
574700,23380,PACK OF 12 VINTAGE DOILY TISSUES,12,11/6/2011 13:53,0.39,16033.0,United Kingdom
554310,20735,BLACK MINI TAPE MEASURE ,1,5/23/2011 15:25,0.83,,United Kingdom
576663,23089,GLASS BON BON JAR,36,11/16/2011 11:31,1.65,16157.0,United Kingdom
564540,23080,RED METAL BOX TOP SECRET,1,8/25/2011 15:34,8.25,12748.0,United Kingdom
548561,84997A,CHILDRENS CUTLERY POLKADOT GREEN ,4,4/1/2011 10:11,4.15,16609.0,United Kingdom
571660,22705,WRAP GREEN PEARS ,25,10/18/2011 12:49,0.42,16191.0,United Kingdom
573543,70006,LOVE HEART POCKET WARMER,2,10/31/2011 13:05,1.65,17777.0,United Kingdom
570826,23201,JUMBO BAG ALPHABET,20,10/12/2011 13:14,2.08,16753.0,United Kingdom
558462,21080,SET/20 RED RETROSPOT PAPER NAPKINS ,10,6/29/2011 15:11,0.85,13982.0,United Kingdom
